gender,pitch,tempo,energy,emotion,style_prompt,content_prompt
F,normal,normal,high,neutral,"With normal speaking speed, she projects a vibrant tone.",Fire!' The curtain went down-the lights went up.
M,normal,normal,high,neutral,"With spirited vigor, he engages in conversation, maintaining a standard pitch and speed.",I do not vouch for
M,low,normal,normal,neutral,"The man's vocal quality holds a regular rhythm, conveying thoughts with average energy.","During the hours when he was engaged in the big shed, helping mr Sharp, the young inventor spent many minutes calling to mind the memory of a certain fair face, and I think I need not mention any names to indicate whose face it was."
F,high,normal,normal,neutral,"Talking in a treble, she converses at a consistent speed.",My wife and family are the support system.
F,high,low,low,fear,"She whispered slowly, her afraid voice's pitch high, but her energy level was low.",His shoulder felt as if it were broken
F,high,normal,normal,happy,"A woman's speech rate is steady, with a distinct treble in her elated voice.",He showed no signs of age.
F,high,normal,high,neutral,She infuses her words with high energy and a high pitch.,The Greeks used to imagine that it was a sign from the gods to foretell war or heavy rain.
M,low,normal,high,neutral,The man's energetic delivery is emphasized by his low-pitched voice and normal speaking tempo.,My attention was quickly riveted by a large red star close to the distant horizon.
M,low,normal,low,neutral,"With a low pitch and regular speaking tempo, his delivery carries an overall low energy.","The great temple still exists in all its beauty and grandeur, but is now used as a Mohammedan mosque."
F,high,normal,normal,surprised,"Her speaking rate is normal, and her dazed voice possesses a high pitch.",Six was half way down the room.
F,high,normal,low,neutral,Her subdued energy doesn't hinder her voice's high pitch during normal conversation.,It was quite a new prescription.
M,high,normal,high,neutral,"Speaking at a normal pace, the male speaker exudes high energy with his high-pitched voice.","""Look out, Breton!"
M,low,low,normal,contempt,"With a steady speaking speed and a deep timbre, the scornful male voice conveys a calm and even energy.",Only lawyers love millionaires
F,normal,normal,low,neutral,"In a quiet tone, she maintains normal speaking speed.",It's not unlike the millennium bug.
F,normal,high,high,neutral,"She conveys her message with speed and enthusiasm, exuding energy.","The man was much surprised at her disappearance, but listened carefully and when he heard the girl make a noise at one end of the corridor he opened the door and ran in the opposite direction, as he had been told to do."
F,normal,high,high,neutral,"With enthusiasm, she gets her message across rapidly and loudly.","""My 'sperience with boys is that they don't know much, but think they do."""
M,low,normal,high,neutral,A man with a deep voice imparts high energy as he speaks with a natural tempo.,"He did not go home to dinner that day, and once or twice he felt impelled to walk past the candy stand, giving a mysterious shake of the head at the proprietor as he did so."
M,low,high,normal,neutral,"A standard level of energy accompanies the man's fast, low-pitched speaking style.",It was convinced that you were dead.
F,normal,normal,normal,neutral,A woman is conversing in a regular manner.,"The great Fred may have seen us approaching, but we probably interested him very little, for he took hardly any notice of us and continued to be stirring with his cane something which we could not see."
M,normal,normal,normal,neutral,"The man speaks with a usual pitch, maintaining a standard speaking speed with moderate energy.","ION: 'Bend gently,' he says, 'in the polished chariot to the left of them, and urge the horse on the right hand with whip and voice; and slacken the rein."
F,normal,normal,normal,neutral,The woman talks with a standard rate and pitch.,"Of course, it was a great secret, and perhaps I should not have named it now,' said Margaret, a little dismayed."
M,low,normal,low,sad,The depressed man's low-pitched voice and standard speaking rhythm align to convey a sense of low energy.,He was killed by an arrow.
F,normal,normal,normal,neutral,"Sharing her thoughts, she maintains a normal tempo.","He made a light supper himself; and then swinging on the grape vine, he closed the day with an hour of music. He repeatedly turned a bright questioning eye toward Abram, but he never for a moment lost sight of the nest and the plump gray figure of his little mate."
F,high,normal,low,contempt,"With a quiet energy, her haughty tone reached high levels.",No the man was not drunk he wondered how he got tied up with this stranger
M,normal,normal,high,neutral,The male speaker's high-energy speech remains at a normal pitch and pace.,"""I found him wandering in the Cathedral."
F,high,normal,high,angry,"Speaking rapidly and with high intensity, she conveys her livid message.",Why else would Danny allow others to go
M,normal,normal,low,happy,"The happy man's pitch remains steady as he speaks at a normal tempo, exhibiting low energy.",Tom could hardly speak for laughing.
F,normal,normal,normal,neutral,"Speaking naturally, her tone and pace are moderate.","It was understood between my mistress, and her children, and her friends, who all met after master died, that I was to take care of mistress, and after mistress died I should not serve anybody else."
M,low,normal,normal,neutral,"With a deep, soothing tone, he speaks in a natural manner, neither hurrying nor dragging, and balanced energy.",The company yesterday refused to comment.
F,high,normal,high,neutral,"With enthusiasm, she communicates in a high-pitched tone.","""Well,"" said Larry, ""you'll never be a rich man."""
F,normal,normal,high,neutral,A woman with effervescent sound and normal tone.,You must behave in a lady like manner whether she does or not.
F,high,low,normal,surprised,"She adopts a higher tone, speaks slowly, and maintains her amazed energy level at normal.",No price is too high when true love is at stake
M,normal,normal,low,surprised,"The male speaker's tone stays in the middle range as he speaks at a normal tempo, his amazed energy slightly diminished.",They had been named Tom and Jerry.
M,low,normal,low,sad,"The disconsolate man's low-pitched voice maintains an even speaking tempo, creating an impression of subdued vitality.","You are not a runaway,who are you?"
F,high,normal,high,neutral,"The girl communicates in a high-pitched voice, infused with energy.","Where is she, you nasty whelp, where is she?"
M,low,normal,high,neutral,"With a deep, energetic voice, the male speaker engages in conversation at a regular tempo.","Instantly all the slaves began howling and beating their heads, and he to whom the young man had spoken fell down with his face in the dust, and lay there twisting and writhing like a worm."
F,high,normal,normal,neutral,"With a normal speaking speed, her high-pitched voice carries conviction.","'I am Signy, the king's daughter,' was the reply."
F,high,low,low,happy,"Whispering gently, her pleasing voice carried a high pitch, yet energy remained low.",Obviously the bridal pair has many adjustments to make to their new situation
F,high,normal,low,neutral,"With minimal energy, she conveys a high-pitched tone.",He accepted the situation with the fortitude of a fatalist.
M,normal,high,low,surprised,"With a usual pitch, the man talks quickly, his shocked energy suggesting a subdued state.",I took her word for it but is she really going with you
F,high,normal,high,neutral,Her high-pitched tone amplifies the energy in her speech.,How could she make such nails work?
F,high,normal,normal,neutral,"With a normal speaking speed, her high-pitched voice carries conviction.","Later in the morning, Katy, going down to her stateroom for something, came across a pallid, exhausted looking lady, who lay stretched on one of the long sofas in the cabin, with a baby in her arms and a little girl sitting at her feet, quite still, with a pair of small hands folded in her lap."
M,low,normal,normal,neutral,"The man has a deep voice, and he speaks at a comfortable speed with a natural flow of words.",We must be just: was this Man an Educator or not?
F,high,low,low,sad,"Speaking with a deliberate slowness, her miserable voice held a high pitch and a hushed, low-energy tone.",This used to be Jerry's occupation.
M,low,high,high,neutral,"The boy's words spill out rapidly, his voice's low pitch reflecting his unwavering high energy.","""I will not."""
F,high,normal,low,sad,"Despite her unhappy quiet demeanor, her voice's pitch is high.",Land based radar would help with this task
M,normal,low,low,happy,"With a usual vocal pitch, the man employs a leisurely speaking speed, his joyful energy levels seeming somewhat diminished.",It must come sometimes to jam a day.
F,high,high,low,neutral,"She articulates swiftly, her tone high and lively.",Ask her to bring these things with her from the store.
F,normal,normal,high,neutral,"With a lively tone, she maintains a usual speaking speed.","""The tracks of a horse."""
M,low,normal,high,neutral,His energetic tone and low pitch drive his speech at a natural speaking speed.,It was one of profound melancholy-of a phaseless and unceasing gloom.
M,normal,normal,high,neutral,"The man speaks with a surge of high energy, maintaining a regular pitch and brisk pace.","Now a Christian writer, named Papias, who lived about sixty years after this time, tells us that Mark wrote his Gospel story from what peter had told him about Christ; so we think this Gospel writing is really the Apostle Peter's account of our Lord's life on earth."
F,high,normal,low,neutral,"With low energy, her voice maintains a high pitch.","A man, whose colossal stature manifested the possession of vast strength, entered the room, and removing his cap, he saluted the family with a mildness his appearance did not indicate as belonging to his nature."
F,normal,low,low,neutral,She articulated her thoughts softly and at a leisurely speed.,BY john KENDRICK BANGS
F,high,low,high,neutral,"With a burst of energy, she spoke slowly and loudly, her tone high-pitched.","""Daddy!"""
M,normal,normal,high,neutral,"Speaking passionately, the man maintains a brisk pace and keeps his pitch high.","Turning to his Secretary of State, he said, to explain his hesitation:"
F,normal,normal,low,angry,"The livid girl's energy is low, but she speaks at a normal pace.",Todd placed top priority on getting his bike fixed
F,high,normal,low,neutral,A murmur and sharp female treble combine.,We suspect he was pleased.
M,low,low,low,fear,"The unhurried, low-pitched frightened male voice seemed to drag through the silence, its lethargic tone conveying a palpable absence of energy.",Todd placed top priority on getting his bike fixed
M,normal,high,normal,neutral,The man's rapid speech pairs with a regular pitch and energy level.,"""That's good."
F,high,normal,normal,neutral,Her voice carries a high pitch as she talks at a regular pace.,"First: the regression of dream work is not only formal, it is also of greater import."
F,high,normal,high,neutral,Her voice adopts a high pitch as she energetically speaks.,"She, informed of his approach, went out to meet him, and received him most respectfully."
M,normal,low,normal,fear,"A male speaker maintains a normal pitch as he speaks slowly, infusing his terrified words with a hint of normal energy.",Their props were two stepladders a chair and a palm fan
M,low,normal,high,neutral,His conversation resonates with high energy as his deep voice maintains a natural speaking tempo.,"We have seen, for instance (coming to later times), how a gap between Mars and Jupiter caused a missing planet to be suspected and looked for, and to be found in a hundred pieces."
F,high,normal,normal,neutral,"With a sharp tone, she speaks at a standard pace.",It may frequently be traced by the dead fish and fish bones strewed along the banks of the river.
M,low,normal,high,neutral,"A man with a deep voice talks at an average pace, radiating intense enthusiasm.","But the increasing lights, and the attacks made by the Indians and the white travelers turned the tide of battle, and, with silent flappings of their soft, velvety wings, the bats flew back to the jungle whence they had emerged."
M,low,low,high,neutral,"With a low vocal pitch and leisurely pace, the man's high energy was palpable.",THE PROBLEM OF DIVORCE
F,normal,normal,low,neutral,"The woman's tone is soft, while her pace is normal.",They are not falling now.
F,high,normal,normal,neutral,"Speaking gracefully, her treble voice enchants those around her.","And there's another thing."""
F,normal,normal,normal,neutral,The young girl shares her thoughts with a regular pace.,"""His anger was now turned against the brave shepherd."
F,normal,high,normal,neutral,"Swiftly talking, she shared her thoughts.",I would be surprised if he decided to give up.
F,high,high,high,neutral,"Speaking at warp speed, her high-pitched voice fills the air.","As a matter of fact, we see and hear and taste and smell and feel with our brains."
F,high,low,low,neutral,"In a leisurely manner, she softly uttered her words with a surprisingly high-pitched resonance.",The diagnosis was discouraging however he was not overly worried
M,low,normal,high,neutral,A man's low-pitched voice conveys high energy naturally with a normal tempo.,It was for the fifty dollar valise.
F,high,normal,low,angry,"Speaking quietly, her mad tone maintains a high pitch.",Land based radar would help with this task
F,high,normal,low,sad,A gloomy woman speaks quietly but with high energy.,Rat came and replied on the leaves.
M,normal,normal,high,neutral,The man's lively speech is accompanied by a normal pitch and energetic tempo.,The count returned and lay down behind the partition.
M,low,normal,normal,neutral,His deep voice resonates naturally as he speaks with an average tempo and standard energy level.,"As the reaper of his own harvest, man learns both by suffering and bliss."
F,high,normal,high,neutral,She infuses her words with high energy and a lively pitch.,He had married an actress!
M,low,normal,normal,neutral,His deep vocal timbre resonates naturally as he talks with an ordinary speaking speed and usual enthusiasm.,The same purpose was in the tall soldier's face.
M,normal,normal,normal,neutral,"A male speaker addresses the audience in a regular pitch, speaking at an average speed with normal energy.","Still, a part of the truth had been gained, and was not to be abandoned any more."
F,high,high,high,neutral,"With a fast speaking speed and high pitch, she engages the audience.",A voice on the beach under the cliff began to sing:
F,high,normal,high,neutral,"Speaking with vigor, her tone is high-pitched.",As by a secret of freemasonry
F,normal,normal,low,neutral,"Low volume communication, yet her pace is ordinary.",That has been the easy part.
F,normal,normal,high,neutral,Energized speech with a standard pitch defines her style.,"Otherwise, Nature can go her way and I go mine, just as we have gone up till now."
M,low,normal,normal,neutral,"The male speaker addresses in a calm manner, using his deep voice to communicate at a regular tempo with normal enthusiasm.","On the morning of april twenty eighth eighteen eighty one, Sheriff Garrett prepared to leave for White Oaks, thirty five miles north, to have a scaffold made to hang the ""Kid"" on."
M,low,normal,high,neutral,His energetic voice is supported by the low pitch as the man speaks with a natural rhythm.,"And so, as I am not and, so far as one can judge, cannot be enchanted, she it is that is enchanted, that is smitten, that is altered, changed, and transformed; in her have my enemies revenged themselves upon me, and for her shall I live in ceaseless tears, until I see her in her pristine state."
F,low,normal,high,neutral,"With a combination of low pitch and high energy, she communicates effectively.",'It was in my day; but those things alter so.
F,high,normal,normal,neutral,"She articulates effectively, with a high pitch in her voice.","They passed briskly down Pulteney Street, and through Laura Place, without the exchange of many words."
F,high,high,high,neutral,A woman's high-pitched voice resonates with vibrant energy.,"And was he to go and confess it, and be tried for it, and be-?"
F,normal,normal,normal,neutral,Her tone remains constant as she speaks.,I spoke to her.
F,normal,normal,low,neutral,"Her energy is low, but she whispers at a normal speaking speed.",Not in this production he doesn't.
M,low,normal,normal,neutral,"His low-pitched tone conveys his ideas naturally, neither hurried nor sluggish, at a regular pace and energy.","It was strange indeed what influence that weird kite seemed to exercise. Even human beings were affected by it, as if both it and they were realities."
F,normal,normal,normal,neutral,A woman's pitch is at a standard level.,"Wait for me here, chevalier, wait for me here."" The prince disappeared in the neighboring apartment and inquired of the gentleman in attendance if the queen mother had returned from chapel."
M,low,high,low,neutral,"The man's low energy doesn't hinder his fast-paced, deep-toned speech.",I don't know the full story.
F,high,low,high,neutral,Her high-pitched voice cut through the air as she spoke with deliberate slowness.,Oil embargo endorsed.
F,high,low,normal,neutral,"Speaking slowly with a higher tone, she converses with a balanced level of energy.",  Victor discussed the hammer and the music today
M,low,normal,normal,neutral,"His voice, deep and resonating, narrates his thoughts with a normal amount of energy and speaking speed.",I kept quite still and said nothing.
M,normal,low,normal,neutral,The male speaker's unhurried speech maintains a regular pitch and energy.,"The partial becomes complete; the crooked, straight; the empty, full; the worn out, new."
F,high,normal,normal,neutral,"With a high-pitched voice, she converses at a typical speaking speed.","But before he went, he said to the lad, if he went into the fourth room he might give up all hope of saving his life."
F,high,normal,high,neutral,A woman's high-pitched voice exudes liveliness.,"As this objectionable lover had either contrived a meeting, or had met her without contriving, it was necessary that the Duke should be informed."
M,low,normal,high,neutral,"With zeal, the male speaker employs a resonant low tone to convey high energy naturally.","We shuffled cautiously towards it, trying every plank before we dared to put our whole weight upon it."
M,low,normal,normal,neutral,"He speaks with a low-pitched voice, making his words easy to understand, and with a natural energy level.",It is also very valuable.)
M,low,low,normal,sad,The slow speaking speed and low pitch of the gloomy male voice convey a tranquil and natural energy.,  Michael discussed the warning and the scoop today
F,high,low,normal,angry,"A furious woman's tone is quite high, and she speaks at a deliberately slow pace with a regular energy level.",say the word pick
M,normal,normal,normal,angry,The enraged man's voice has a usual pitch as he talks at an average pace with standard energy.,Confess that you opened the thirteenth door.
F,high,low,low,neutral,"In a leisurely manner, she softly uttered her words with a high-pitched resonance.",Motorists will buy passes in advance.
M,low,normal,normal,neutral,"The man has a deep voice, and he speaks at a comfortable speed with a natural rhythm.","I hope he hasn't got out,' I said to myself, thinking of a story I read once of a person in a menagerie, who turned suddenly and saw a great boa gliding towards him."
M,low,normal,low,neutral,"The male speaker's voice maintains a deep pitch while adhering to an ordinary pace, creating a subdued atmosphere.","In a few moments after, a respectable looking man in a chaise stopped at the door."
M,low,normal,normal,neutral,"Speaking naturally in his deep tone, the man talks at a standard pace with regular liveliness.",It is the Holiday programme with a mortgage.
M,low,low,high,neutral,"Even with a slow speaking speed, the male speaker's high energy was evident in his low-pitched voice.","""I know you are unhappy,"" replied Virginia, gently."
M,low,normal,normal,neutral,"The man addresses with his familiar low-pitched tone, engaging in conversation at a moderate pace and standard energy.",I headed directly towards the heavy bronze ladder that led to the bottom of the pool.
F,normal,high,normal,neutral,The woman's speech is swift.,"But there, your father is calling to you from the sitting room."""
M,low,normal,high,neutral,"The man's low tone amplifies the excitement in his speech, delivered with a typical pace.",The reviews were welcomed by business lobby groups.
M,low,high,normal,neutral,"Speaking swiftly, the man's voice, deep in pitch, carries a sense of normal energy.","She was deaf to the voice of Nature, though she has hearkened to that of Ambition."
F,high,normal,low,neutral,"Speaking calmly, her voice retains a high pitch even at a regular pace.","Sadly, they did not."
M,low,high,high,neutral,"The boy's energetic speaking style, combined with a deep pitch, creates rapid yet impactful speech.","""Well; we have shown that we can shed our blood too."
M,low,normal,high,neutral,"The man's dynamic speaking style, characterized by his deep voice, unfolds at an average pace with high energy.","'No, Sir,' replied Lowten."
M,low,high,high,neutral,"The boy's words spill out rapidly, his voice's low pitch reflecting his unwavering high energy.","And at the period of which I speak, I was less attuned than now to the modern world."
M,low,normal,low,neutral,"Utilizing a low pitch and natural speech speed, the male speaker exudes an overall sense of low vitality.",I've seen it work already.
F,normal,high,normal,neutral,The girl communicated rapidly.,"""These are fine brutes,"" he said, not taking his eyes from them; ""but they are not equal to my mare, Nell."
F,high,normal,low,neutral,The girl's hushed voice holds a distinct high pitch.,It was clear.
F,high,normal,low,neutral,"Speaking softly with high pitch, her energy is low.",But if you hadn't done them.
M,normal,low,low,neutral,"A male speaker with a customary pitch engages in slow-paced discourse, his energy slightly diminished.",Agricultural products are unevenly distributed
F,normal,normal,low,neutral,"Her pitch is regular, and her energy is low.",I am very shocked.
M,low,normal,low,sad,"The disconsolate male speaker utilizes a low vocal quality and typical speech rhythm, conveying an inherent sense of low vitality.",I blinked my eyes hard.
M,low,normal,high,neutral,The male speaker's dynamic voice conveys energy while speaking at a regular pace.,"Nevertheless Lee, full of daring despite his years, followed, and the dangers were growing thicker every hour around Pope."
F,high,high,normal,neutral,"Her quick-talking, high-pitched voice reflects her normal energy level.",Once they caught sight of fingers pressing outward for a way of escape.
M,low,high,low,neutral,"A male speaker utilizes a deep tone to speak rapidly, yet his energy remains low.",I kept going for her.
F,high,normal,low,neutral,"Speaking softly, she maintains a high-pitched voice.",I fancy she was wanted about the mince pies.
M,low,high,low,neutral,The boy's rapid speech contrasts with his low-pitched voice and energy levels.,So now we know.
M,normal,normal,high,neutral,The male speaker addresses the audience with a lively pitch and energetic speed.,"""I want to hear everything."""
M,normal,normal,low,sad,"The man's tone remains in the middle range as he speaks at a normal tempo, his gloomy energy slightly diminished.",We can die too we can die like real people People never live forever
F,normal,normal,low,neutral,"The girl's pitch is normal, yet her energy is hushed.",So the challenge is against ourselves.
M,low,normal,high,neutral,"Speaking with vigor, the male speaker conveys high energy in a low pitch and natural pace.",Thus there is no dualism as regards acquaintance.
F,normal,high,low,neutral,"Speaking softly and swiftly, she imparts with low energy.",So are the people.
F,high,normal,normal,neutral,"Talking at a moderate pace, her high-pitched voice is captivating.","""No, indeed, it looks very nice."
F,high,normal,high,angry,"With high-pitched zeal, her enraged rapid speaking pace magnifies the energy.",One even gave my little dog a biscuit
F,high,low,low,contempt,"Speaking at a deliberate pace, her derisive voice bore a high pitch and low energy.",Don't ask me to carry an oily rag like that
M,normal,normal,normal,neutral,"A male speaker discusses a subject, speaking at a typical speed with moderate energy.","Bees were confined to their hive without any pollen, after being supplied with honey, eggs and larvae."
M,low,normal,normal,neutral,"The man's low-pitched speech flows naturally, maintaining a regular cadence and normal energy level.","These polyps have a unique generating mechanism that reproduces them via the budding process, and they have an individual existence while also participating in a communal life."
M,low,high,low,neutral,"Uttering words swiftly, his deep voice exudes minimal vitality.",This is the first stage of catching up.
F,high,low,high,neutral,"Slowly and emphatically, the woman's high-energy speech held the attention of her audience.","""Me laughing!"
M,low,normal,high,neutral,The boy's enthusiastic delivery combines a low pitch and a regular speaking pace.,"But he was generous and placable, and some of his best friends were those with whom he had had differences, and had settled them in the way then prevalent,--in a ring of serious spectators, calmly and judicially ruminant, under the shade of some spreading oak, at the edge of the timber."
F,high,normal,low,sad,"Whispering quietly, but her heartbroken pitch is high.",He didn't figure her at all and if he found out a woman it'd be bad
F,high,high,high,neutral,"With high energy, she communicates passionately through rapid, high-pitched speech.",You could go on there while I am at mrs Hale's.'
M,low,normal,high,neutral,A male speaker's lively delivery is supported by his low-pitched voice and regular tempo.,"The posts of the bed were also carved into laughing baby faces; the chairs and the dresser showed a face upon every spot where there was a place for one, and every face throughout the whole room had a smile upon it."
M,normal,normal,normal,neutral,"A male speaker communicates with regular pitch, engaging in conversation at a typical speed and energy.","If I could see objects unaltered through them, so could mr Weiss."
M,low,high,normal,neutral,"The man's rapid-speaking pattern, along with a deep voice, embodies regular vigor.",He had once been nipped.
F,high,normal,high,neutral,She maintains an energetic rhythm and high tone throughout her speech.,"Well, to continue my report."
M,normal,normal,high,neutral,The male speaker's high-energy speech remains at a normal pitch and pace.,So soon as one trouble was overcome another made itself manifest.
F,high,high,normal,neutral,Rapid speech and a high tone define her communication style.,He might have been called the invulnerable dwarf of the fray.
F,normal,normal,normal,neutral,"Speaking with a normal key, she conveys her ideas.","""We wish it would always be warm weather,"" said the young Muskrats. ""What's the use of winter?"""
M,low,high,normal,neutral,His quick-paced delivery and low vocal tone contribute to a normal energy throughout his speech.,"Managing to get near it, I whipped it up and threw the bead on him, calling, ""Hands up!"" He of course put up his hands, and then said, ""Oh, come, I was only joking""; to which I answered, ""Well, I am not."
M,low,normal,high,neutral,"Speaking with unwavering enthusiasm, the male speaker uses a low-pitched voice and a normal tempo.","A letter came from his father, to whom he had written at once of his purpose, giving his approval, and sending him more money. Colonel Kenton wrote that he would come South himself, but he was needed in Kentucky, where a powerful faction was opposing their plans."
M,low,high,low,neutral,The man's brisk-speaking style and deep pitch reflect his subdued vitality.,I would urge upon you
M,low,low,high,neutral,The male speaker's energy remained tangible despite his slow delivery and low-pitched voice.,"Until recently, she worked as a recruitment consultant in London.)"
M,normal,high,high,neutral,The male speaker delivers fast-paced speech while maintaining high energy.,Meares and Oates went to the Glacier Tongue and satisfied themselves that the ice is good.
M,low,high,low,neutral,"The male presenter, though low on energy, maintains a swift pace and deep voice.",No one denied his statement.
F,normal,normal,low,neutral,"She communicates calmly, her pace ordinary.",Does that put pressure on us ?
F,high,high,high,neutral,"With high energy, she conveys her thoughts through rapid, high-pitched speech.",I wonder what coloured hair she has.
M,normal,low,low,surprised,"The male speaker, with a usual pitch, delivers his shocked words at a relaxed speed, capturing a feeling of reduced vitality.",His superiors had also preached this saying it was the way for eternal honor
F,high,normal,high,neutral,"The woman's voice, high in tone, radiates energy.","But the papers give no news, and all the attempts of the police end in nothing."
M,normal,low,high,neutral,"With a regular pitch and a burst of energy, the man's deliberate speech captures interest.","It would seem acceptable that, if many reports of white birds should occur, the birds are not blackbirds, even though there have been white blackbirds. Or that, if often reported, grayish or whitish gelatinous substance is not nostoc, and is not spawn if occurring in times unseasonable for spawn."
F,normal,high,normal,neutral,She spoke rapidly in her usual tone.,"For many years a suit was used as a measurement; once or twice they took fresh measurements, but these didn't fit and they had to go back."
M,low,low,low,happy,"A languid happy male voice, with a low pitch that seemed to drag each word, emanated a sense of lethargy and drained energy.",When you're less fatigued things just naturally look brighter
F,normal,high,normal,neutral,The girl swiftly conveyed her viewpoint.,"In that case, the parliament intervened and had some one hung."
F,normal,normal,low,neutral,"Whispering softly, her energy remains low.","Again, we were lucky."
M,normal,low,low,fear,"The nervous male speaker, utilizing a regular pitch, speaks at a pace that suggests a lack of energy.",His superiors had also preached this saying it was the way for eternal honor
M,low,normal,low,neutral,"Speaking with a deep pitch and normal tempo, the man's communication conveys an air of diminished vitality.","""Aunt Mary has typhoid fever-there seems to be so much of that this spring and they sent for mamma."
M,low,normal,high,neutral,A man's animated tone conveys high energy as he speaks with a low pitch at a natural pace.,"""Good bye, Aunt Susan,"" he said."
M,high,low,high,neutral,"With a high-pitched voice, the man conveys his message with a steady pace and high energy.",Cleave to your kind.
M,normal,normal,normal,neutral,"The man speaks in a common pitch, maintaining a moderate speaking speed and balanced energy.","This first book of his brought him into notice, and served as an introduction to Tycho and to Galileo."
M,normal,normal,low,surprised,"The man's tone remains steady as he speaks at a regular tempo, emitting a sense of fatigue in his dumbfounded energy.",The clumsy customer spilled some expensive perfume.
F,normal,high,high,neutral,"Speaking rapidly and with vigor, she ignites the atmosphere.","""Let 'Reed that bends' go on the hunting path; he will meet them."""
F,high,normal,low,neutral,A whisper and sharp female treble.,We meet again in Berlin.
M,low,normal,low,neutral,"Utilizing a low pitch and adhering to a typical tempo, his communication suggests a subdued energy.",It's not their fault.
F,high,normal,low,neutral,"She conveys her thoughts quietly, yet in a high-pitched voice.",Many other areas are coming up.
M,low,normal,high,neutral,The man's low-pitched voice resonates with energy as he speaks at a regular speed.,He selected a spot which pleased him in his first day's journey.
F,high,low,high,neutral,"Speaking in a high-pitched tone, she took her time, full of energy.","""Hello!"
M,low,high,high,neutral,"His low-pitched voice lends resonance to his rapid, high-energy delivery.",He liked to give the impression of being a hard man.
F,high,high,normal,neutral,"Her speech is rapid, her tone consistently high.","""Then what made him take to his heels so fast if he didn't?"" some one asked."
M,low,normal,high,neutral,"Speaking with zest, his low-pitched voice conveys high energy at a natural tempo.","Meanwhile the revival of the Arabic power being a possibility too far removed from probability to take a place in the politics of the day, the loyalty of the Egyptians to the Turkish Empire must be accepted as a controlling feature in the affairs of the country."
M,high,high,normal,neutral,"With urgency, his tone turned high-pitched.","He hastened to his mistress's palace; Master Puss came to meet him, very consequentially, as was his wont; the King lifted up his foot, but when he thought to have put it on the cat's tail, Puss turned round so quickly that he trod on nothing but the floor."
M,low,low,normal,neutral,"A man's low-pitched voice, spoken at a relaxed pace, carries a steady and calming energy.","Crying mournfully, the bird circled the old tower thrice, and disappeared over the white capped waters."
M,normal,normal,high,neutral,The man's dynamic speech captivates listeners with normal pitch and speed.,"It was not the light of the sun, with his dazzling shafts of brightness and the splendour of his rays; nor was it the pale and uncertain shimmer of the moonbeams, the dim reflection of a nobler body of light."
M,low,high,high,neutral,His energetic delivery is accompanied by a deep voice as he speaks rapidly.,"In a little while back came the man with an ox so fat and big, the lad had never seen its like, and he gave it one blow with his fist under the ear, and down it fell dead on the floor."
M,normal,normal,high,neutral,"Addressing the topic with enthusiasm, he keeps a normal pitch and speaks at an energetic pace.","'Don't you speak so loud, Mr Phillips."
M,low,normal,high,neutral,A boy's resonant low tone enlivens the conversation with its energetic cadence at a standard pace.,The American told an astounding story.
F,high,normal,low,neutral,"Speaking at a regular speed, her high-pitched tone reflects her energy.","I believe it was Bernard Shaw who said: ""If there is anyone who hates a young English lady more than does her mother, it is her elder sister."" There is something about this saying, however, that arouses our antipathy."
F,normal,normal,high,neutral,"The woman's voice is dynamic, resonating at a regular volume.","Surrounded by the comforts of middle class respectability, and profoundly oppressed, even in his youth, by the Puritan ideals of the household, he sometimes experienced a sense of suffocation."
F,high,normal,low,angry,"Speaking with little energy, her livid pitch is high.","But what about this thing, sticky!"
F,high,normal,high,neutral,"With enthusiasm, she communicates in a high-pitched tone.","Although this peculiar colour is very beautiful and scarce, I am of opinion that the light gray or fawn colour with black and well marked muzzle, ears, and legs is the typical variety, the markings being the same as the Himalayan rabbits."
F,normal,normal,normal,neutral,"Speaking naturally, the girl discusses topics in a regular tone.","'Where are my slippers, lazy crew?' cried the old woman, and hit about with her stick."
F,high,low,normal,neutral,"Speaking slowly, her pitch is high, and her energy level is normal.",Dicky didn't like my cooking!
M,normal,normal,high,neutral,"With a hint of high energy, the speaker employs a normal pitch during his speech at a normal pace.","""Then it would seem that I have lost favour in the eyes of my lord the prince, or that some fairer woman has found it."""
F,high,normal,normal,neutral,"Speaking with normal energy, she maintains a treble pitch.",Meetings will also remain private.
F,high,normal,low,neutral,"She communicates in a subdued manner, her tone high.",And they removed a Borderer.
M,low,normal,normal,neutral,"The man articulates in a low-pitched voice, maintaining a regular speed of speech and energy.","People look, but no one ever finds it. "
M,normal,high,high,neutral,"With high energy, the male speaker's normal pitch accompanies his rapid speech.",'Don't you know me again?' said the youth.
M,high,low,low,neutral,"The man's high-pitched voice complements his unhurried pace of speech, conveying a feeling of low energy.","""Yes."
M,low,normal,low,disgusted,"With a low pitch and standard speaking speed, his sickened communication style reflects reduced dynamism.",It was not whatever tale was told by tails
F,high,high,high,neutral,"Speaking at a frenzied pace, her pitch reaches new heights.",That could be in place by next year.
F,normal,low,low,disgusted,"In a tranquil manner, she shared her revulsed thoughts with a slow cadence.",say the word haze
F,normal,normal,high,neutral,"Speaking energetically, her voice is at a normal level.",The little fellow patronized the feeble and disappointed old man.
M,normal,low,low,disgusted,"With his sickened customary pitch, the man converses at a leisurely pace, carrying an undertone of lowered liveliness.",Young children should avoid exposure to contagious diseases
